id,date,cod_account,account,short_class,class,revenueexpenses,budget
1,2022-01-31,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,70000
2,2022-01-31,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,80000
3,2022-01-31,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4000
4,2022-01-31,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6000
5,2022-01-31,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,13500
6,2022-01-31,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,11000
7,2022-01-31,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,880
8,2022-01-31,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1100
9,2022-01-31,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,275
10,2022-01-31,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4500
11,2022-01-31,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
12,2022-01-31,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
13,2022-01-31,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
14,2022-01-31,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2500
15,2022-01-31,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,500
16,2022-01-31,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1500
17,2022-01-31,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
18,2022-01-31,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
19,2022-01-31,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,15000
20,2022-01-31,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6500
21,2022-01-31,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
22,2022-01-31,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
23,2022-01-31,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
24,2022-02-28,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,72500
25,2022-02-28,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,80000
26,2022-02-28,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4000
27,2022-02-28,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6100
28,2022-02-28,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,13700
29,2022-02-28,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,11000
30,2022-02-28,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,880
31,2022-02-28,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1100
32,2022-02-28,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,275
33,2022-02-28,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4600
34,2022-02-28,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
35,2022-02-28,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
36,2022-02-28,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
37,2022-02-28,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2600
38,2022-02-28,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,550
39,2022-02-28,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1500
40,2022-02-28,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
41,2022-02-28,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
42,2022-02-28,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,16000
43,2022-02-28,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6550
44,2022-02-28,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
45,2022-02-28,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
46,2022-02-28,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
47,2022-03-31,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,75000
48,2022-03-31,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,80000
49,2022-03-31,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4000
50,2022-03-31,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6200
51,2022-03-31,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,13900
52,2022-03-31,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,11000
