ID,DATE,COD_ACCOUNT,ACCOUNT,Short_CLASS,CLASS,REVENUE/EXPENSES,BUDGET
1,31-01-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,70000
2,31-01-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,80000
3,31-01-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4000
4,31-01-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6000
5,31-01-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,13500
6,31-01-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,11000
7,31-01-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,880
8,31-01-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1100
9,31-01-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,275
10,31-01-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4500
11,31-01-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
12,31-01-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
13,31-01-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
14,31-01-2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2500
15,31-01-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,500
16,31-01-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1500
17,31-01-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
18,31-01-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
19,31-01-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,15000
20,31-01-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6500
21,31-01-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
22,31-01-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
23,31-01-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
24,28-02-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,72500
25,28-02-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,80000
26,28-02-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4000
27,28-02-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6100
28,28-02-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,13700
29,28-02-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,11000
30,28-02-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,880
31,28-02-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1100
32,28-02-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,275
33,28-02-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4600
34,28-02-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
35,28-02-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
36,28-02-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
37,28-02-2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2600
38,28-02-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,550
39,28-02-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1500
40,28-02-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
41,28-02-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
42,28-02-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,16000
43,28-02-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6550
44,28-02-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
45,28-02-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
46,28-02-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
47,31-03-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,75000
48,31-03-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,80000
49,31-03-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4000
50,31-03-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6200
51,31-03-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,13900
52,31-03-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,11000
53,31-03-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,880
54,31-03-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1100
55,31-03-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,275
56,31-03-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4700
57,31-03-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
58,31-03-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
59,31-03-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
60,31-03-2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2650
61,31-03-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,600
62,31-03-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1500
63,31-03-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
64,31-03-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
65,31-03-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,17000
66,31-03-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6600
67,31-03-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
68,31-03-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
69,31-03-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
70,30-04-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,77500
71,30-04-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,85000
72,30-04-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4250
73,30-04-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6500
74,30-04-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,14100
75,30-04-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,16000
76,30-04-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1280
77,30-04-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1600
78,30-04-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,400
79,30-04-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4800
80,30-04-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
81,30-04-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
82,30-04-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
83,30-04-2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2700
84,30-04-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,620
85,30-04-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1500
86,30-04-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
87,30-04-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
88,30-04-2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,EXPENSES,18000
89,30-04-2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,EXPENSES,6650
90,30-04-2022,61010,61010 Lodging,S&M,Sales & Marketing,EXPENSES,2000
91,30-04-2022,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,EXPENSES,500
92,30-04-2022,61030,61030 Travel,S&M,Sales & Marketing,EXPENSES,1000
93,31-05-2022,40200,40200 Product Revenue,G&A,General & Administrative,REVENUE,80000
94,31-05-2022,40100,40100 SaaS Revenue,G&A,General & Administrative,REVENUE,85000
95,31-05-2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,EXPENSES,4250
96,31-05-2022,50210,50210 Product Costs,G&A,General & Administrative,EXPENSES,6600
97,31-05-2022,60100,60100 Advertising & Marketing,G&A,General & Administrative,EXPENSES,14300
98,31-05-2022,60810,60810 Salary & Wages,G&A,General & Administrative,EXPENSES,16000
99,31-05-2022,60820,60820 Payroll Taxes,G&A,General & Administrative,EXPENSES,1280
100,31-05-2022,60830,60830 Health Insurance,G&A,General & Administrative,EXPENSES,1600
101,31-05-2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,EXPENSES,400
102,31-05-2022,60710,60710 Accounting Fees,G&A,General & Administrative,EXPENSES,4900
103,31-05-2022,60720,60720 Consulting Fees,G&A,General & Administrative,EXPENSES,8000
104,31-05-2022,60730,60730 Legal Fees,G&A,General & Administrative,EXPENSES,5200
105,31-05-2022,60740,60740 Recruiting Fees,G&A,General & Administrative,EXPENSES,7800
106,31-05-2022,61010,61010 Lodging,G&A,General & Administrative,EXPENSES,2750
107,31-05-2022,70100,70100 Interest Income,G&A,General & Administrative,REVENUE,640
108,31-05-2022,80100,80100 Depreciation Expense,G&A,General & Administrative,EXPENSES,1500
109,31-05-2022,80200,80200 Interest Expense,G&A,General & Administrative,EXPENSES,1000
110,31-05-2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,EXPENSES,1000
